"","legislator_id","legislator_status","legislator_name","legislator_cham_name","legislator_photo_url","legislator_gender","legislator_state","legislator_party","legislator_cabinet","legislator_building_address","legislator_telephone_number","legislator_email","legislator_comissions"
"11","73433","Titular","ARLINDO CHIGNALIA JUNIOR","ARLINDO CHINAGLIA","http://www.camara.gov.br/internet/deputado/bandep/73433.jpg","masculino","SP","PT","4","1","3215-5966","dep.arlindochinaglia@camara.leg.br",""
"12","73788","Titular","RICARDO JOSÉ MAGALHÃES BARROS","RICARDO BARROS","http://www.camara.gov.br/internet/deputado/bandep/73788.jpg","masculino","PR","PP","412","4","3215-5412","dep.ricardobarros@camara.leg.br",""
"13","73531","Titular","IVAN VALENTE","IVAN VALENTE","http://www.camara.gov.br/internet/deputado/bandep/73531.jpg","masculino","SP","PSOL","716","4","3215-5716","dep.ivanvalente@camara.leg.br",""
"14","74749","Titular","MAURO RIBEIRO LOPES","MAURO LOPES","http://www.camara.gov.br/internet/deputado/bandep/74749.jpg","masculino","MG","MDB","844","4","3215-5844","dep.maurolopes@camara.leg.br",""
"15","74299","Titular","JOSÉ LEÔNIDAS DE MENEZES CRISTINO","LEÔNIDAS CRISTINO","http://www.camara.gov.br/internet/deputado/bandep/74299.jpg","masculino","CE","PDT","948","4","3215-5948","dep.leonidascristino@camara.leg.br",""
"16","74655","Titular","EDUARDO LUIZ BARROS BARBOSA","EDUARDO BARBOSA","http://www.camara.gov.br/internet/deputado/bandep/74655.jpg","masculino","MG","PSDB","540","4","3215-5540","dep.eduardobarbosa@camara.leg.br",""
"17","73772","Titular","HERMES PARCIANELLO","HERMES PARCIANELLO","http://www.camara.gov.br/internet/deputado/bandep/73772.jpg","masculino","PR","MDB","234","4","3215-5234","dep.hermesparcianello@camara.leg.br",""
"18","74079","Titular","JOSÉ BENITO PRIANTE JÚNIOR","JOSÉ PRIANTE","http://www.camara.gov.br/internet/deputado/bandep/74079.jpg","masculino","PA","MDB","752","4","3215-5752","dep.josepriante@camara.leg.br",""
"19","74439","Titular","WOLNEY QUEIROZ MACIEL","WOLNEY QUEIROZ","http://www.camara.gov.br/internet/deputado/bandep/74439.jpg","masculino","PE","PDT","936","4","3215-5936","dep.wolneyqueiroz@camara.leg.br",""
"20","73441","Titular","CELSO UBIRAJARA RUSSOMANNO","CELSO RUSSOMANNO","http://www.camara.gov.br/internet/deputado/bandep/73441.jpg","masculino","SP","PRB","960","4","3215-5960","dep.celsorussomanno@camara.leg.br",""
"21","74043","Titular","JOSÉ WELLINGTON ROBERTO","WELLINGTON ROBERTO","http://www.camara.gov.br/internet/deputado/bandep/74043.jpg","masculino","PB","PR","514","4","3215-5514","dep.wellingtonroberto@camara.leg.br",""
"22","74585","Titular","LINCOLN DINIZ PORTELA","LINCOLN PORTELA","http://www.camara.gov.br/internet/deputado/bandep/74585.jpg","masculino","MG","PR","615","4","3215-5615","dep.lincolnportela@camara.leg.br",""
"23","74467","Titular","DAMIÃO FELICIANO DA SILVA","DAMIÃO FELICIANO","http://www.camara.gov.br/internet/deputado/bandep/74467.jpg","masculino","PB","PDT","938","4","3215-5938","dep.damiaofeliciano@camara.leg.br",""
"24","73460","Titular","GUSTAVO BONATO FRUET","GUSTAVO FRUET","http://www.camara.gov.br/internet/deputado/bandep/73460.jpg","masculino","PR","PDT","827","4","3215-5827","dep.gustavofruet@camara.leg.br",""
"25","74471","Titular","ANDRÉ CARLOS ALVES DE PAULA FILHO","ANDRÉ DE PAULA","http://www.camara.gov.br/internet/deputado/bandep/74471.jpg","masculino","PE","PSD","754","4","3215-5754","dep.andredepaula@camara.leg.br",""
"26","74693","Titular","RODRIGO FELINTO IBARRA EPITÁCIO MAIA","RODRIGO MAIA","http://www.camara.gov.br/internet/deputado/bandep/74693.jpg","masculino","RJ","DEM","837","4","3215-5837","dep.rodrigomaia@camara.leg.br",""
"27","73486","Titular","DARCI POMPEO DE MATTOS","POMPEO DE MATTOS","http://www.camara.gov.br/internet/deputado/bandep/73486.jpg","masculino","RS","PDT","704","4","3215-5704","dep.pompeodemattos@camara.leg.br",""
"28","73482","Titular","HENRIQUE FONTANA JÚNIOR","HENRIQUE FONTANA","http://www.camara.gov.br/internet/deputado/bandep/73482.jpg","masculino","RS","PT","256","4","3215-5256","dep.henriquefontana@camara.leg.br",""
"29","74784","Titular","LUIZA ERUNDINA DE SOUSA","LUIZA ERUNDINA","http://www.camara.gov.br/internet/deputado/bandep/74784.jpg","feminino","SP","PSOL","620","4","3215-5620","dep.luizaerundina@camara.leg.br",""
"30","74352","Titular","NILSON PINTO DE OLIVEIRA","NILSON PINTO","http://www.camara.gov.br/internet/deputado/bandep/74352.jpg","masculino","PA","PSDB","527","4","3215-5527","dep.nilsonpinto@camara.leg.br",""
"31","73586","Titular","JÚLIO CÉSAR DELGADO","JÚLIO DELGADO","http://www.camara.gov.br/internet/deputado/bandep/73586.jpg","masculino","MG","PSB","323","4","3215-5323","dep.juliodelgado@camara.leg.br",""
"32","74383","Titular","FERNANDO LÚCIO GIACOBO","GIACOBO","http://www.camara.gov.br/internet/deputado/bandep/74383.jpg","masculino","PR","PR","762","4","3215-5762","dep.giacobo@camara.leg.br",""
"33","74400","Titular","PAULO ROBERTO SEVERO PIMENTA","PAULO PIMENTA","http://www.camara.gov.br/internet/deputado/bandep/74400.jpg","masculino","RS","PT","552","4","3215-5552","dep.paulopimenta@camara.leg.br",""
"34","74398","Titular","MARIA DO ROSÁRIO NUNES","MARIA DO ROSÁRIO","http://www.camara.gov.br/internet/deputado/bandep/74398.jpg","feminino","RS","PT","312","4","3215-5312","dep.mariadorosario@camara.leg.br",""
"35","74052","Titular","JOÃO BOSCO DA COSTA","BOSCO COSTA","http://www.camara.gov.br/internet/deputado/bandep/74052.jpg","masculino","SE","PR","742","4","3215-5742","dep.boscocosta@camara.leg.br",""
"36","74283","Titular","VICENTE PAULO DA SILVA","VICENTINHO","http://www.camara.gov.br/internet/deputado/bandep/74283.jpg","masculino","SP","PT","740","4","3215-5740","dep.vicentinho@camara.leg.br",""
"37","74270","Titular","GILBERTO NASCIMENTO SILVA","GILBERTO NASCIMENTO","http://www.camara.gov.br/internet/deputado/bandep/74270.jpg","masculino","SP","PSC","834","4","3215-5834","dep.gilbertonascimento@camara.leg.br",""
"38","74273","Titular","JEFFERSON ALVES DE CAMPOS","JEFFERSON CAMPOS","http://www.camara.gov.br/internet/deputado/bandep/74273.jpg","masculino","SP","PSB","346","4","3215-5346","dep.jeffersoncampos@camara.leg.br",""
"39","74262","Titular","CARLOS HENRIQUE FOCESI SAMPAIO","CARLOS SAMPAIO","http://www.camara.gov.br/internet/deputado/bandep/74262.jpg","masculino","SP","PSDB","207","4","3215-5207","dep.carlossampaio@camara.leg.br",""
"40","74159","Titular","ODAIR JOSÉ DA CUNHA","ODAIR CUNHA","http://www.camara.gov.br/internet/deputado/bandep/74159.jpg","masculino","MG","PT","556","4","3215-5556","dep.odaircunha@camara.leg.br",""
"41","74161","Titular","REGINALDO LÁZARO DE OLIVEIRA LOPES","REGINALDO LOPES","http://www.camara.gov.br/internet/deputado/bandep/74161.jpg","masculino","MG","PT","426","4","3215-5426","dep.reginaldolopes@camara.leg.br",""
"42","74160","Titular","PATRUS ANANIAS DE SOUSA","PATRUS ANANIAS","http://www.camara.gov.br/internet/deputado/bandep/74160.jpg","masculino","MG","PT","720","4","3215-5720","dep.patrusananias@camara.leg.br",""
"43","74156","Titular","JOSÉ LEONARDO COSTA MONTEIRO","LEONARDO MONTEIRO","http://www.camara.gov.br/internet/deputado/bandep/74156.jpg","masculino","MG","PT","922","4","3215-5922","dep.leonardomonteiro@camara.leg.br",""
"44","74376","Titular","VANDER LUIZ DOS SANTOS LOUBET","VANDER LOUBET","http://www.camara.gov.br/internet/deputado/bandep/74376.jpg","masculino","MS","PT","838","4","3215-5838","dep.vanderloubet@camara.leg.br",""
"45","74044","Titular","JOSÉ WILSON SANTIAGO","WILSON SANTIAGO","http://www.camara.gov.br/internet/deputado/bandep/74044.jpg","masculino","PB","PTB","534","4","3215-5534","dep.wilsonsantiago@camara.leg.br",""
"46","73943","Titular","MARIA PERPÉTUA DE ALMEIDA","PERPÉTUA ALMEIDA","http://www.camara.gov.br/internet/deputado/bandep/73943.jpg","feminino","AC","PCdoB","310","4","3215-5310","dep.perpetuaalmeida@camara.leg.br",""
"47","74371","Titular","RUBENS OTONI GOMIDE","RUBENS OTONI","http://www.camara.gov.br/internet/deputado/bandep/74371.jpg","masculino","GO","PT","501","4","3215-5501","dep.rubensotoni@camara.leg.br",""
"48","74366","Titular","JOÃO CAMPOS DE ARAÚJO","JOÃO CAMPOS","http://www.camara.gov.br/internet/deputado/bandep/74366.jpg","masculino","GO","PRB","315","4","3215-5315","dep.joaocampos@camara.leg.br",""
"49","74158","Titular","MÁRIO LÚCIO HERINGER","MÁRIO HERINGER","http://www.camara.gov.br/internet/deputado/bandep/74158.jpg","masculino","MG","PDT","211","4","3215-5211","dep.marioheringer@camara.leg.br",""
"50","133439","Titular","ANDRÉ PEIXOTO FIGUEIREDO LIMA","ANDRÉ FIGUEIREDO","http://www.camara.gov.br/internet/deputado/bandep/133439.jpg","masculino","CE","PDT","940","4","3215-5940","dep.andrefigueiredo@camara.leg.br",""
"51","136811","Titular","JOSÉ ALFONSO EBERT HAMM","AFONSO HAMM","http://www.camara.gov.br/internet/deputado/bandep/136811.jpg","masculino","RS","PP","604","4","3215-5604","dep.afonsohamm@camara.leg.br",""
"52","141335","Titular","JOSÉ ROBERTO OLIVEIRA FARO","BETO FARO","http://www.camara.gov.br/internet/deputado/bandep/141335.jpg","masculino","PA","PT","723","4","3215-5723","dep.betofaro@camara.leg.br",""
"53","141391","Titular","ARNALDO CALIL PEREIRA JARDIM","ARNALDO JARDIM","http://www.camara.gov.br/internet/deputado/bandep/141391.jpg","masculino","SP","PPS","245","4","3215-5245","dep.arnaldojardim@camara.leg.br",""
"54","141513","Titular","OLAVO BILAC PINTO NETO","BILAC PINTO","http://www.camara.gov.br/internet/deputado/bandep/141513.jpg","masculino","MG","DEM","806","4","3215-5806","dep.bilacpinto@camara.leg.br",""
"55","141405","Titular","CELSO MALDANER","CELSO MALDANER","http://www.camara.gov.br/internet/deputado/bandep/141405.jpg","masculino","SC","MDB","311","4","3215-5311","dep.celsomaldaner@camara.leg.br",""
"56","141439","Titular","FRANCISCO JOSÉ D'ANGELO PINTO","CHICO D'ANGELO","http://www.camara.gov.br/internet/deputado/bandep/141439.jpg","masculino","RJ","PDT","542","4","3215-5542","dep.chicodangelo@camara.leg.br",""
"57","141411","Titular","DAGOBERTO NOGUEIRA FILHO","DAGOBERTO NOGUEIRA","http://www.camara.gov.br/internet/deputado/bandep/141411.jpg","masculino","MS","PDT","522","4","3215-5522","dep.dagobertonogueira@camara.leg.br",""
"58","141417","Titular","ÉDIO VIEIRA LOPES","EDIO LOPES","http://www.camara.gov.br/internet/deputado/bandep/141417.jpg","masculino","RR","PR","408","4","3215-5408","dep.ediolopes@camara.leg.br",""
"59","141421","Titular","EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA","EDUARDO DA FONTE","http://www.camara.gov.br/internet/deputado/bandep/141421.jpg","masculino","PE","PP","628","4","3215-5628","dep.eduardodafonte@camara.leg.br",""
"60","141422","Titular","EFRAIM DE ARAÚJO MORAIS FILHO","EFRAIM FILHO","http://www.camara.gov.br/internet/deputado/bandep/141422.jpg","masculino","PB","DEM","744","4","3215-5744","dep.efraimfilho@camara.leg.br",""
"61","141428","Titular","FÁBIO SALUSTINO MESQUITA DE FARIA","FÁBIO FARIA","http://www.camara.gov.br/internet/deputado/bandep/141428.jpg","masculino","RN","PSD","706","4","3215-5706","dep.fabiofaria@camara.leg.br",""
"62","141427","Titular","FÁBIO AUGUSTO RAMALHO DOS SANTOS","FÁBIO RAMALHO","http://www.camara.gov.br/internet/deputado/bandep/141427.jpg","masculino","MG","MDB","638","4","3215-5638","dep.fabioramalho@camara.leg.br",""
"63","141431","Titular","FERNANDO BEZERRA DE SOUZA COELHO FILHO","FERNANDO COELHO FILHO","http://www.camara.gov.br/internet/deputado/bandep/141431.jpg","masculino","PE","DEM","662","4","3215-5662","dep.fernandocoelhofilho@camara.leg.br",""
"64","141434","Titular","FLAVIANO FLÁVIO BAPTISTA DE MELO","FLAVIANO MELO","http://www.camara.gov.br/internet/deputado/bandep/141434.jpg","masculino","AC","MDB","224","4","3215-5224","dep.flavianomelo@camara.leg.br",""
"65","141450","Titular","HUGO LEAL MELO DA SILVA","HUGO LEAL","http://www.camara.gov.br/internet/deputado/bandep/141450.jpg","masculino","RJ","PSD","631","4","3215-5631","dep.hugoleal@camara.leg.br",""
"66","141459","Titular","JOÃO DA SILVA MAIA","JOÃO MAIA","http://www.camara.gov.br/internet/deputado/bandep/141459.jpg","masculino","RN","PR","439","4","3215-5439","dep.joaomaia@camara.leg.br",""
"67","141464","Titular","JOSÉ AIRTON FÉLIX CIRILO DA SILVA","JOSÉ AIRTON FÉLIX CIRILO","http://www.camara.gov.br/internet/deputado/bandep/141464.jpg","masculino","CE","PT","319","4","3215-5319","dep.joseairtonfelixcirilo@camara.leg.br",""
"68","141470","Titular","JOSÉ NOBRE GUIMARÃES","JOSÉ GUIMARÃES","http://www.camara.gov.br/internet/deputado/bandep/141470.jpg","masculino","CE","PT","306","4","3215-5306","dep.joseguimaraes@camara.leg.br",""
"69","141508","Titular","MAURO NAZIF RASUL","MAURO NAZIF","http://www.camara.gov.br/internet/deputado/bandep/141508.jpg","masculino","RO","PSB","818","4","3215-5818","dep.mauronazif@camara.leg.br",""
"70","141518","Titular","PAULO PEREIRA DA SILVA","PAULO PEREIRA DA SILVA","http://www.camara.gov.br/internet/deputado/bandep/141518.jpg","masculino","SP","SOLIDARIEDADE","217","4","3215-5217","dep.paulopereiradasilva@camara.leg.br",""
"71","141516","Titular","PAULO ABI-ACKEL","PAULO ABI-ACKEL","http://www.camara.gov.br/internet/deputado/bandep/141516.jpg","masculino","MG","PSDB","718","4","3215-5718","dep.pauloabiackel@camara.leg.br",""
"72","141488","Titular","LUIZ PAULO TEIXEIRA FERREIRA","PAULO TEIXEIRA","http://www.camara.gov.br/internet/deputado/bandep/141488.jpg","masculino","SP","PT","281","3","3215-5281","dep.pauloteixeira@camara.leg.br",""
"73","141523","Titular","RAUL JEAN LOUIS HENRY JÚNIOR","RAUL HENRY","http://www.camara.gov.br/internet/deputado/bandep/141523.jpg","masculino","PE","MDB","707","4","3215-5707","dep.raulhenry@camara.leg.br",""
"74","141531","Titular","RODRIGO BATISTA DE CASTRO","RODRIGO DE CASTRO","http://www.camara.gov.br/internet/deputado/bandep/141531.jpg","masculino","MG","PSDB","701","4","3215-5701","dep.rodrigodecastro@camara.leg.br",""
"75","141553","Titular","VANDERLEI MACRIS","VANDERLEI MACRIS","http://www.camara.gov.br/internet/deputado/bandep/141553.jpg","masculino","SP","PSDB","618","4","3215-5618","dep.vanderleimacris@camara.leg.br",""
"76","141555","Titular","VINICIUS RAPOZO DE CARVALHO","VINICIUS CARVALHO","http://www.camara.gov.br/internet/deputado/bandep/141555.jpg","masculino","SP","PRB","356","4","3215-5356","dep.viniciuscarvalho@camara.leg.br",""
"77","141398","Titular","CARLOS ALBERTO ROLIM ZARATTINI","CARLOS ZARATTINI","http://www.camara.gov.br/internet/deputado/bandep/141398.jpg","masculino","SP","PT","808","4","3215-5808","dep.carloszarattini@camara.leg.br",""
"78","146307","Titular","NERI GELLER","NERI GELLER","http://www.camara.gov.br/internet/deputado/bandep/146307.jpg","masculino","MT","PP","658","4","3215-5658","dep.nerigeller@camara.leg.br",""
"79","151208","Titular","LAERCIO JOSÉ DE OLIVEIRA","LAERCIO OLIVEIRA","http://www.camara.gov.br/internet/deputado/bandep/151208.jpg","masculino","SE","PP","629","4","3215-5629","dep.laerciooliveira@camara.leg.br",""
"80","152610","Titular","BENEDITO ROBERTO ALVES FERREIRA","ROBERTO ALVES","http://www.camara.gov.br/internet/deputado/bandep/152610.jpg","masculino","SP","PRB","946","4","3215-5946","dep.robertoalves@camara.leg.br",""
"81","152605","Titular","GLAUBER DE MEDEIROS BRAGA","GLAUBER BRAGA","http://www.camara.gov.br/internet/deputado/bandep/152605.jpg","masculino","RJ","PSOL","362","4","3215-5362","dep.glauberbraga@camara.leg.br",""
"82","154178","Titular","MILTON VIEIRA PINTO","MILTON VIEIRA","http://www.camara.gov.br/internet/deputado/bandep/154178.jpg","masculino","SP","PRB","344","4","3215-5344","dep.miltonvieira@camara.leg.br",""
"83","160541","Titular","ARTHUR CÉSAR PEREIRA DE LIRA","ARTHUR LIRA","http://www.camara.gov.br/internet/deputado/bandep/160541.jpg","masculino","AL","PP","942","4","3215-5942","dep.arthurlira@camara.leg.br",""
"84","160641","Titular","MARCIVANIA DO SOCORRO DA ROCHA FLEXA","PROFESSORA MARCIVANIA","http://www.camara.gov.br/internet/deputado/bandep/160641.jpg","feminino","AP","PCdoB","338","4","3215-5338","dep.professoramarcivania@camara.leg.br",""
"85","160591","Titular","VINICIUS DE AZEVEDO GURGEL","VINICIUS GURGEL","http://www.camara.gov.br/internet/deputado/bandep/160591.jpg","masculino","AP","PR","852","4","3215-5852","dep.viniciusgurgel@camara.leg.br",""
"86","160645","Titular","LUIZ CARLOS GOMES DOS SANTOS JUNIOR","LUIZ CARLOS","http://www.camara.gov.br/internet/deputado/bandep/160645.jpg","masculino","AP","PSDB","512","4","3215-5512","dep.luizcarlos@camara.leg.br",""
"87","160669","Titular","GENECIAS MATEUS NORONHA","GENECIAS NORONHA","http://www.camara.gov.br/internet/deputado/bandep/160669.jpg","masculino","CE","SOLIDARIEDADE","244","4","3215-5244","dep.geneciasnoronha@camara.leg.br",""
"88","143632","Titular","DOMINGOS GOMES DE AGUIAR NETO","DOMINGOS NETO","http://www.camara.gov.br/internet/deputado/bandep/143632.jpg","masculino","CE","PSD","546","4","3215-5546","dep.domingosneto@camara.leg.br",""
"89","160575","Titular","ÉRIKA JUCÁ KOKAY","ERIKA KOKAY","http://www.camara.gov.br/internet/deputado/bandep/160575.jpg","feminino","DF","PT","203","4","3215-5203","dep.erikakokay@camara.leg.br",""
"90","160534","Titular","LAURIETE RODRIGUES DE JESUS","LAURIETE","http://www.camara.gov.br/internet/deputado/bandep/160534.jpg","feminino","ES","PR","223","4","3215-5223","dep.lauriete@camara.leg.br",""
"91","160598","Titular","FLÁVIA CARREIRO ALBUQUERQUE MORAIS","FLÁVIA MORAIS","http://www.camara.gov.br/internet/deputado/bandep/160598.jpg","feminino","GO","PDT","738","4","3215-5738","dep.flaviamorais@camara.leg.br",""
"92","160599","Titular","DIMAS FABIANO TOLEDO JÚNIOR","DIMAS FABIANO","http://www.camara.gov.br/internet/deputado/bandep/160599.jpg","masculino","MG","PP","736","4","3215-5736","dep.dimasfabiano@camara.leg.br",""
"93","160632","Titular","JOSÉ SILVA SOARES","ZÉ SILVA","http://www.camara.gov.br/internet/deputado/bandep/160632.jpg","masculino","MG","SOLIDARIEDADE","608","4","3215-5608","dep.zesilva@camara.leg.br",""
"94","160556","Titular","JOÃO CARLOS SIQUEIRA","PADRE JOÃO","http://www.camara.gov.br/internet/deputado/bandep/160556.jpg","masculino","MG","PT","743","4","3215-5743","dep.padrejoao@camara.leg.br",""
"95","160518","Titular","WELITON FERNANDES PRADO","WELITON PRADO","http://www.camara.gov.br/internet/deputado/bandep/160518.jpg","masculino","MG","PROS","250","4","3215-5250","dep.welitonprado@camara.leg.br",""
"96","160640","Titular","EROS FERREIRA BIONDINI","EROS BIONDINI","http://www.camara.gov.br/internet/deputado/bandep/160640.jpg","masculino","MG","PROS","321","4","3215-5321","dep.erosbiondini@camara.leg.br",""
"97","160588","Titular","DIEGO LEONARDO DE ANDRADE CARVALHO","DIEGO ANDRADE","http://www.camara.gov.br/internet/deputado/bandep/160588.jpg","masculino","MG","PSD","307","4","3215-5307","dep.diegoandrade@camara.leg.br",""
"98","160758","Titular","DOMINGOS SÁVIO CAMPOS RESENDE","DOMINGOS SÁVIO","http://www.camara.gov.br/internet/deputado/bandep/160758.jpg","masculino","MG","PSDB","345","4","3215-5345","dep.domingossavio@camara.leg.br",""
"99","160510","Titular","LUIS HENRIQUE DE OLIVEIRA RESENDE","LUIS TIBÉ","http://www.camara.gov.br/internet/deputado/bandep/160510.jpg","masculino","MG","AVANTE","632","4","3215-5632","dep.luistibe@camara.leg.br",""
"100","160587","Titular","FÁBIO RICARDO TRAD","FÁBIO TRAD","http://www.camara.gov.br/internet/deputado/bandep/160587.jpg","masculino","MS","PSD","452","4","3215-5452","dep.fabiotrad@camara.leg.br",""
"101","160527","Titular","AGUINALDO VELLOSO BORGES RIBEIRO","AGUINALDO RIBEIRO","http://www.camara.gov.br/internet/deputado/bandep/160527.jpg","masculino","PB","PP","735","4","3215-5735","dep.aguinaldoribeiro@camara.leg.br",""
"102","160674","Titular","HUGO MOTTA WANDERLEY DA NÓBREGA","HUGO MOTTA","http://www.camara.gov.br/internet/deputado/bandep/160674.jpg","masculino","PB","PRB","237","4","3215-5237","dep.hugomotta@camara.leg.br",""
"103","160635","Titular","RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR","RUY CARNEIRO","http://www.camara.gov.br/internet/deputado/bandep/160635.jpg","masculino","PB","PSDB","536","4","3215-5536","dep.ruycarneiro@camara.leg.br",""
"104","160665","Titular","AUGUSTO RODRIGUES COUTINHO DE MELO","AUGUSTO COUTINHO","http://www.camara.gov.br/internet/deputado/bandep/160665.jpg","masculino","PE","SOLIDARIEDADE","314","4","3215-5314","dep.augustocoutinho@camara.leg.br",""
"105","160528","Titular","DANILO JORGE DE BARROS CABRAL","DANILO CABRAL","http://www.camara.gov.br/internet/deputado/bandep/160528.jpg","masculino","PE","PSB","423","4","3215-5423","dep.danilocabral@camara.leg.br",""
"106","160642","Titular","FRANCISCO EURICO DA SILVA","PASTOR EURICO","http://www.camara.gov.br/internet/deputado/bandep/160642.jpg","masculino","PE","PATRI","906","4","3215-5906","dep.pastoreurico@camara.leg.br",""
"107","67138","Titular","IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA","IRACEMA PORTELLA","http://www.camara.gov.br/internet/deputado/bandep/67138.jpg","feminino","PI","PP","924","4","3215-5924","dep.iracemaportella@camara.leg.br",""
"108","159237","Titular","FRANCISCO DE ASSIS CARVALHO GONÇALVES","ASSIS CARVALHO","http://www.camara.gov.br/internet/deputado/bandep/159237.jpg","masculino","PI","PT","909","4","3215-5909","dep.assiscarvalho@camara.leg.br",""
"109","160592","Titular","JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA","ZECA DIRCEU","http://www.camara.gov.br/internet/deputado/bandep/160592.jpg","masculino","PR","PT","613","4","3215-5613","dep.zecadirceu@camara.leg.br",""
"110","160511","Titular","ALESSANDRO LUCCIOLA MOLON","ALESSANDRO MOLON","http://www.camara.gov.br/internet/deputado/bandep/160511.jpg","masculino","RJ","PSB","304","4","3215-5304","dep.alessandromolon@camara.leg.br",""
"111","122158","Titular","PEDRO PAULO CARVALHO TEIXEIRA","PEDRO PAULO","http://www.camara.gov.br/internet/deputado/bandep/122158.jpg","masculino","RJ","DEM","727","4","3215-5727","dep.pedropaulo@camara.leg.br",""
"112","160512","Titular","AUREO LIDIO MOREIRA RIBEIRO","AUREO RIBEIRO","http://www.camara.gov.br/internet/deputado/bandep/160512.jpg","masculino","RJ","SOLIDARIEDADE","212","4","3215-5212","dep.aureoribeiro@camara.leg.br",""
"113","160531","Titular","JOHNATHAN PEREIRA DE JESUS","JHONATAN DE JESUS","http://www.camara.gov.br/internet/deputado/bandep/160531.jpg","masculino","RR","PRB","535","4","3215-5535","dep.jhonatandejesus@camara.leg.br",""
"114","160570","Titular","JERÔNIMO PIZZOLOTTO GOERGEN","JERÔNIMO GOERGEN","http://www.camara.gov.br/internet/deputado/bandep/160570.jpg","masculino","RS","PP","316","4","3215-5316","dep.jeronimogoergen@camara.leg.br",""
"115","160673","Titular","GIOVANI CHERINI","GIOVANI CHERINI","http://www.camara.gov.br/internet/deputado/bandep/160673.jpg","masculino","RS","PR","468","3","3215-5468","dep.giovanicherini@camara.leg.br",""
"116","160538","Titular","ELVINO JOSÉ BOHN GASS","BOHN GASS","http://www.camara.gov.br/internet/deputado/bandep/160538.jpg","masculino","RS","PT","469","3","3215-5469","dep.bohngass@camara.leg.br",""
"117","160535","Titular","DIONILSO MATEUS MARCON","MARCON","http://www.camara.gov.br/internet/deputado/bandep/160535.jpg","masculino","RS","PT","569","3","3215-5569","dep.marcon@camara.leg.br",""
"118","160552","Titular","DANRLEI DE DEUS HINTERHOLZ","DANRLEI DE DEUS HINTERHOLZ","http://www.camara.gov.br/internet/deputado/bandep/160552.jpg","masculino","RS","PSD","566","3","3215-5566","dep.danrleidedeushinterholz@camara.leg.br",""
"119","160559","Titular","ALCEU MOREIRA DA SILVA","ALCEU MOREIRA","http://www.camara.gov.br/internet/deputado/bandep/160559.jpg","masculino","RS","MDB","238","4","3215-5238","dep.alceumoreira@camara.leg.br",""
"120","160604","Titular","PEDRO FRANCISCO UCZAI","PEDRO UCZAI","http://www.camara.gov.br/internet/deputado/bandep/160604.jpg","masculino","SC","PT","229","4","3215-5229","dep.pedrouczai@camara.leg.br",""
